#Data tag : online , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
383811:9945,07/29/24 16:52:12,41,41,0.013117829,0.011277490
383812:9945,07/29/24 17:11:17,338,338,0.164879330,0.148482458
383813:9945,07/29/24 19:26:00,104,104,0.050648666,0.046168967
383814:9945,07/29/24 20:12:38,1244,1244,0.552183287,0.516293948
383830:9947,07/30/24 08:01:55,124,124,0.052653245,0.046428710
383832:9947,07/30/24 08:59:00,405,405,0.197862574,0.176920074
383833:9947,07/30/24 11:39:37,173,173,0.084462990,0.077340669
383834:9947,07/30/24 12:49:56,438,438,0.211337941,0.195640061
383854:9951,07/30/24 20:32:22,1088,1088,0.522252922,0.477702432
383855:9951,07/31/24 03:37:50,905,905,0.353678279,0.334599356
383900:9960,07/31/24 15:53:42,29,29,0.007608002,0.007254339
383907:9962,08/01/24 01:35:28,615,615,0.291844995,0.263918743
383908:9962,08/01/24 05:40:03,16,16,0.007796309,0.006825118
383948:9967,08/01/24 21:31:59,882,882,0.415860904,0.381120395
383949:9967,08/02/24 03:17:58,905,905,0.384975341,0.363972113
383996:9969,08/02/24 14:25:58,2192,2192,0.910386584,0.859871549
384014:9970,08/03/24 07:49:48,378,378,0.168047477,0.157862884
384029:9971,08/03/24 12:39:06,445,445,0.200373868,0.187164227
384052:9973,08/04/24 01:26:33,2136,2136,0.893682046,0.838457765
384069:9974,08/04/24 17:15:47,1220,1220,0.566243522,0.512757795
384070:9974,08/05/24 01:14:33,678,678,0.252832404,0.239685194
384124:9978,08/05/24 19:07:55,69,69,0.022908399,0.020280980
384126:9978,08/05/24 19:39:34,20,20,0.009409751,0.006196515
384127:9978,08/05/24 19:50:44,15,15,0.007085763,0.006211409
384128:9978,08/05/24 20:00:38,1613,1613,0.723393946,0.679108523
384187:9982,08/06/24 20:53:18,384,384,0.165075668,0.152179666
384188:9982,08/06/24 23:24:44,255,255,0.120536571,0.112482916
384202:9983,08/07/24 12:18:48,1760,1760,0.778186901,0.732694640
384203:9983,08/07/24 23:45:17,8,8,0.002684476,0.002246752
384204:9983,08/07/24 23:51:26,215,215,0.066824070,0.063085385
384209:9984,08/08/24 07:07:55,783,783,0.361196376,0.335666138
384238:9986,08/08/24 17:13:57,493,493,0.223888574,0.208468324
384239:9986,08/08/24 20:45:15,1321,1321,0.564535287,0.533833280
384244:9986,08/09/24 06:26:50,146,146,0.041740360,0.040442152
384264:9987,08/09/24 11:29:13,969,969,0.448868475,0.416610379
384265:9987,08/09/24 17:49:26,408,408,0.187858205,0.175941561
384290:9989,08/10/24 20:15:12,111,111,0.052207315,0.045198273
384291:9989,08/10/24 21:33:54,1630,1630,0.710115051,0.670338974
384318:9992,08/11/24 12:35:40,33,33,0.006793383,0.006442002
384322:9994,08/11/24 18:20:51,697,697,0.320912994,0.296798061
384323:9994,08/11/24 22:57:34,432,432,0.204234528,0.190735480
384331:9995,08/12/24 03:58:07,590,590,0.270133359,0.249340047
384332:9995,08/12/24 07:49:44,529,529,0.249906901,0.232187507
384377:9996,08/12/24 18:27:38,394,394,0.176983274,0.163017624
384378:9996,08/12/24 21:06:29,168,168,0.079248645,0.072147741
384380:9996,08/12/24 22:50:43,27,27,0.012801734,0.011659190
384382:9996,08/12/24 23:17:40,159,159,0.075090348,0.069747860
384383:9996,08/13/24 01:10:37,1000,1000,0.393653554,0.371602525
384406:10000,08/13/24 14:20:29,599,599,0.272459432,0.254749393
384413:10001,08/13/24 20:26:14,1950,1950,0.836264576,0.785078671
384446:10002,08/14/24 12:08:34,244,244,0.112836092,0.104970033
384464:10004,08/14/24 18:47:13,248,248,0.106510712,0.099574353
384468:10005,08/14/24 23:38:21,1912,1912,0.823416865,0.764671838
384485:10006,08/15/24 14:45:03,96,94,0.030850034,0.028696714
384486:10006,08/15/24 15:25:50,34,34,0.016056053,0.014403081
384487:10006,08/15/24 15:42:19,30,30,0.014189140,0.012818247
384489:10006,08/15/24 16:02:32,29,29,0.013695729,0.012130313
384490:10006,08/15/24 16:17:13,32,31,0.015094477,0.013151201
384491:10006,08/15/24 16:32:41,31,31,0.014607448,0.013352745
384492:10006,08/15/24 16:48:32,1611,1611,0.700176357,0.656252356
384565:10010,08/16/24 21:29:08,1711,1711,0.764598479,0.706906191
384579:10012,08/17/24 11:16:57,538,538,0.241208166,0.223616488
384591:10013,08/17/24 17:20:39,157,157,0.060342054,0.055106482
384593:10013,08/17/24 18:32:49,137,137,0.064809940,0.059915844
384610:10014,08/17/24 22:43:48,405,405,0.148799384,0.141496249
384614:10016,08/18/24 05:44:59,1255,1255,0.578323591,0.537002527
384638:10017,08/18/24 17:19:49,532,532,0.242816833,0.215016435
384644:10017,08/18/24 21:25:07,1046,1046,0.464144358,0.422844908
384933:10049,08/23/24 19:17:08,623,623,0.283044663,0.264917993
384934:10049,08/23/24 23:22:15,4,4,0.001838375,0.001653911
384935:10049,08/23/24 23:30:44,1327,1327,0.535944923,0.513185231
384950:10050,08/24/24 09:59:15,176,176,0.075239550,0.068030752
384951:10050,08/24/24 11:11:49,961,961,0.455305213,0.427961066
384963:10052,08/24/24 21:20:42,2106,2106,0.914764085,0.865539193
384981:10056,08/25/24 14:30:56,2101,2101,0.911042050,0.861979536
385012:10059,08/26/24 14:29:58,275,275,0.119112340,0.110952990
385016:10061,08/26/24 19:27:38,778,778,0.358773042,0.335244622
385094:10066,08/28/24 20:30:28,951,951,0.440651471,0.414204485
385100:10068,08/29/24 06:12:48,17,17,0.003017832,0.002818485
385127:10069,08/29/24 11:21:07,2039,2039,0.871146019,0.825127884
385134:10070,08/30/24 02:46:58,304,304,0.134076405,0.126146800
385142:10072,08/30/24 07:48:37,1936,1936,0.830723177,0.784410647
385152:10073,08/31/24 00:23:41,1160,1160,0.535344355,0.498892222
385153:10073,08/31/24 07:59:36,852,852,0.325242263,0.309915146
385168:10074,08/31/24 17:44:44,2056,2056,0.884702016,0.836420947
385178:10075,09/01/24 09:25:43,504,504,0.224807848,0.209966317
385194:10077,09/01/24 18:18:28,1401,1401,0.646676109,0.603143622
385260:10082,09/03/24 09:38:15,543,543,0.247122347,0.230334702
385281:10084,09/03/24 18:30:31,1389,1389,0.641353580,0.602759205
385284:10084,09/04/24 04:04:19,133,133,0.052594514,0.050171150
385285:10084,09/04/24 05:07:39,289,289,0.100042139,0.093605665
385286:10084,09/04/24 07:10:58,1447,1447,0.347275463,0.337701560
385311:10086,09/04/24 20:10:28,106,106,0.038387977,0.032396428
385312:10086,09/04/24 20:55:00,430,430,0.203847752,0.190825719
385324:10087,09/05/24 04:16:47,1836,1836,0.796172129,0.749702215
385354:10090,09/05/24 23:32:09,802,802,0.369147064,0.344890800
385355:10090,09/06/24 04:45:28,950,950,0.411816845,0.387817206
385383:10091,09/06/24 14:25:32,360,360,0.161290498,0.150841525
385386:10091,09/06/24 17:28:58,10,10,0.004717060,0.004230266
385387:10091,09/06/24 17:42:59,365,365,0.172846460,0.161871978
385390:10092,09/06/24 22:13:08,1652,1652,0.754229849,0.708100722
385391:10092,09/07/24 08:58:33,542,542,0.179531043,0.172423822
385408:10093,09/07/24 16:43:27,409,409,0.183934526,0.173547933
385415:10094,09/07/24 21:29:08,508,508,0.230967211,0.217383905
385422:10095,09/08/24 04:08:23,1114,1114,0.517465226,0.480462566
385423:10095,09/08/24 11:26:06,396,396,0.179813437,0.166468928
385424:10095,09/08/24 14:01:18,636,636,0.220136025,0.208788189
385437:10096,09/08/24 20:29:56,779,779,0.360407180,0.335288472
385443:10097,09/09/24 03:51:29,1555,1555,0.713802731,0.670238231
385444:10097,09/09/24 14:11:45,154,154,0.057116621,0.054311750
385447:10097,09/09/24 15:16:47,172,172,0.058984982,0.056786555
385474:10098,09/09/24 19:24:24,719,719,0.327244702,0.306988278
385478:10099,09/10/24 02:09:42,646,646,0.296261358,0.268441753
385480:10099,09/10/24 06:27:18,6,6,0.002830347,0.000154913
385481:10099,09/10/24 06:33:02,104,104,0.049101868,0.044587971
385483:10099,09/10/24 07:19:45,22,22,0.010415418,0.009101075
385484:10099,09/10/24 07:31:07,19,19,0.008937838,0.007831889
385511:10100,09/10/24 12:07:41,104,104,0.039375273,0.036618975
385512:10100,09/10/24 12:50:54,23,23,0.010876717,0.009213152
385513:10100,09/10/24 13:03:21,20,20,0.009449110,0.008170807
385514:10100,09/10/24 13:14:48,26,26,0.012370642,0.010305128
385515:10100,09/10/24 13:30:08,1639,1639,0.733475392,0.682576459
385567:10104,09/11/24 12:50:43,294,294,0.110695583,0.103255841
385568:10104,09/11/24 14:48:38,256,256,0.120329135,0.112736010
385589:10105,09/11/24 22:31:01,210,210,0.090243918,0.084658441
385591:10105,09/11/24 23:58:17,19,18,0.008944562,0.004839333
385592:10105,09/12/24 00:06:54,22,22,0.010388121,0.005437117
385604:10105,09/12/24 01:44:45,1092,1092,0.503948625,0.474411797
385606:10105,09/12/24 08:53:24,643,643,0.214662818,0.206275476
385618:10107,09/12/24 15:36:37,159,157,0.067389986,0.060904021
385619:10107,09/12/24 16:43:37,98,98,0.046403078,0.042138604
385620:10107,09/12/24 17:24:53,1782,1782,0.774317504,0.732084400
385697:10109,09/13/24 16:26:05,31,31,0.006369843,0.005924434
385712:10112,09/13/24 22:09:19,478,478,0.214713049,0.201450535
385713:10112,09/14/24 01:23:03,612,612,0.289158668,0.271404388
385727:10115,09/14/24 07:48:40,512,512,0.236440859,0.221810699
385728:10115,09/14/24 11:19:03,1108,1108,0.520018289,0.485584571
385738:10116,09/14/24 22:12:14,1701,1701,0.794954575,0.740663785
385739:10116,09/15/24 09:18:38,427,427,0.142447604,0.137202381
385754:10117,09/15/24 14:03:08,102,102,0.037832171,0.035059018
385764:10118,09/15/24 16:42:49,2216,2215,0.953628960,0.894213634
385799:10119,09/16/24 09:38:00,14,14,0.001947297,0.001739081
385801:10119,09/16/24 09:48:04,102,102,0.045739732,0.042701780
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#74,143,92536,92529,40.345569584,37.726109344

Warning: problems found in merging -i and --normtag selections:
  in run 384579 [[31, 570]] is not a superset of [[33, 572]]
  in run 384614 [[33, 1289]] is not a superset of [[35, 1290]]
  in run 384981 [[28, 2132]] is not a superset of [[30, 1212], [1215, 2137]]
  in run 385012 [[47, 323]] is not a superset of [[49, 324]]
  in run 385618 [[30, 79], [81, 152], [157, 204]] is not a superset of [[32, 195]]
#Check JSON:
#(run,ls) in json but not in results: []
