#Data tag : online , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
383487:9923,07/22/24 09:47:12,2043,2043,0.851810232,0.801120503
383496:9925,07/23/24 02:52:20,181,181,0.079273059,0.072808188
383512:9926,07/23/24 06:46:08,1755,1755,0.795734316,0.743506722
383514:9926,07/23/24 19:13:08,139,139,0.039087412,0.037844904
383536:9927,07/24/24 02:13:47,164,164,0.066722496,0.061644340
383537:9927,07/24/24 03:19:59,76,76,0.037037315,0.033085993
383541:9927,07/24/24 04:01:38,302,302,0.147092100,0.137246353
383629:9931,07/25/24 00:40:18,190,190,0.080965548,0.076448775
383630:9931,07/25/24 01:56:21,295,295,0.139621204,0.131771990
383631:9931,07/25/24 03:56:49,1675,1675,0.683067240,0.642952680
383647:9932,07/25/24 17:03:23,107,107,0.041292325,0.037929493
383648:9932,07/25/24 17:46:40,232,232,0.113112105,0.103245320
383649:9932,07/25/24 19:18:20,342,342,0.166879099,0.153987763
383650:9932,07/25/24 21:33:00,41,41,0.019996955,0.017422947
383661:9934,07/26/24 01:47:35,101,101,0.037887784,0.034630992
383662:9934,07/26/24 02:30:01,181,181,0.088125740,0.080421489
383669:9935,07/26/24 05:40:30,639,639,0.301825446,0.280457448
383687:9936,07/26/24 12:06:39,476,476,0.222398744,0.205912291
383692:9937,07/26/24 17:20:31,859,859,0.407413694,0.372048659
383693:9937,07/26/24 22:56:12,155,155,0.075363801,0.068250770
383694:9937,07/27/24 00:04:45,30,30,0.014021043,0.008790273
383695:9937,07/27/24 00:19:44,740,740,0.284000544,0.266868457
383712:9939,07/27/24 08:34:14,1552,1552,0.717822194,0.667435894
383724:9939,07/27/24 19:49:20,192,192,0.061954641,0.059779227
383740:9941,07/28/24 01:30:34,676,676,0.314920583,0.289706894
383741:9941,07/28/24 05:57:18,574,574,0.276015713,0.256253350
383756:9942,07/28/24 12:25:37,1365,1365,0.638851484,0.593227851
383758:9942,07/28/24 21:50:52,25,25,0.009579673,0.008984129
383767:9943,07/29/24 00:29:10,1603,1603,0.731624341,0.674992590
383779:9943,07/29/24 10:56:46,173,173,0.058137853,0.055796996
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#62,121,70008,70002,29.544029541,27.745481781

Warning: problems found in merging -i and --normtag selections:
  in run 382568 [[29, 435]] is not a superset of [[30, 437]]
#Check JSON:
#(run,ls) in json but not in results: []
