====================================================================================================
First 100 events: 1-D reweighting using pt_gggg_vec
====================================================================================================

   Row |           Event ID |     Data pt_gggg_vec |      Mix pt_gggg_vec |         Weight
    94 |        487289605.0 |            18.454015 |            60.636423 |       0.049721
    95 |        679851819.0 |           100.953445 |            73.169980 |       0.030689
    96 |        679851819.0 |           100.953445 |           107.676481 |       0.021375
    97 |        679851819.0 |           100.953445 |            49.887020 |       0.068228
    98 |        679851819.0 |           100.953445 |            59.290972 |       0.049721
    99 |        679851819.0 |           100.953445 |            40.811350 |       0.068228
====================================================================================================
Summary----------------------------------------------------------------------------------------------------
Data weight: 1 (implicit)
Event Mix weight: pT_gggg_1d_weight
The weight does NOT modify pt_gggg_vec itself.
The weight modifies the contribution of the event to the histogram.
====================================================================================================
